country,year,total_deaths_that_are_from_all_causes__in_both_sexes_aged_all_ages,total_estimated_deaths,difference,share_deaths_with_cause
Antigua and Barbuda,1974,496,376,120,131.9148936
Saint Vincent and the Grenadines,1972,890,694,196,128.2420749
Antigua and Barbuda,1976,491,385,106,127.5324675
Antigua and Barbuda,1977,496,394,102,125.8883249
Grenada,2021,1275,1016,259,125.492126
Antigua and Barbuda,1972,455,374,81,121.657754
Antigua and Barbuda,1975,463,382,81,121.2041885
Kuwait,1998,4215,3501,714,120.3941731
Dominica,2020,700,588,112,119.047619
Malta,1978,3380,2844,536,118.8466948
Kuwait,2001,4364,3696,668,118.0735931
Saint Vincent and the Grenadines,2014,995,845,150,117.7514793
Kuwait,1999,4186,3557,629,117.6834411
Kuwait,2000,4227,3596,631,117.5472747
Antigua and Barbuda,2014,580,494,86,117.4089069
Antigua and Barbuda,1963,574,489,85,117.3824131
Kuwait,1997,4017,3457,560,116.1990165
Martinique,2014,3314,2894,420,114.5127851
Malta,1980,3301,2883,418,114.498786
Seychelles,2011,688,601,87,114.4758735
Antigua and Barbuda,2019,618,540,78,114.4444444
Grenada,2002,888,776,112,114.4329897
Saint Vincent and the Grenadines,2008,804,704,100,114.2045455
Antigua and Barbuda,1966,492,433,59,113.6258661
Singapore,1964,10510,9265,1245,113.4376686
Guadeloupe,2014,3279,2894,385,113.3033863
Kuwait,2002,4342,3833,509,113.2794156
Mayotte,2016,717,633,84,113.2701422
Saint Vincent and the Grenadines,1977,778,688,90,113.0813953
Bahrain,2004,2208,1962,246,112.5382263
Kuwait,1996,3812,3406,406,111.9201409
Seychelles,2013,717,641,76,111.8564743
Seychelles,2005,673,602,71,111.7940199
Singapore,1963,10214,9143,1071,111.7138795
Singapore,1965,10381,9302,1079,111.599656
Trinidad and Tobago,2004,9872,8849,1023,111.5606283
Seychelles,2003,668,599,69,111.5191987
Kuwait,2004,4793,4305,488,111.3356562
Guadeloupe,2016,3227,2899,328,111.3142463
Barbados,1961,2410,2166,244,111.2650046
Kuwait,2006,5247,4716,531,111.259542
Saint Lucia,1987,925,832,93,111.1778846
Seychelles,2009,684,616,68,111.038961
Kuwait,2009,5935,5345,590,111.0383536
Antigua and Barbuda,1971,414,373,41,110.9919571
Bahrain,2003,2107,1900,207,110.8947368
Singapore,1966,10552,9529,1023,110.7356491
Saint Lucia,1992,970,876,94,110.7305936
Barbados,1976,2343,2116,227,110.7277883
Bahrain,2012,2613,2360,253,110.720339
Singapore,1968,11050,9990,1060,110.6106106
Bahrain,2000,2033,1838,195,110.609358
Saint Vincent and the Grenadines,2011,870,787,83,110.5463787
Kuwait,1995,3781,3425,356,110.3941606
Bahrain,2008,2390,2168,222,110.2398524
Malta,2017,3571,3240,331,110.2160494
Trinidad and Tobago,2005,9885,8969,916,110.2129557
Kuwait,2003,4424,4015,409,110.1867995
Saint Lucia,1990,954,866,88,110.1616628
Saint Vincent and the Grenadines,2005,815,740,75,110.1351351
Saint Lucia,1972,971,883,88,109.9660249
Seychelles,2006,664,604,60,109.9337748
Bahrain,2006,2317,2110,207,109.8104265
Malta,1981,3137,2857,280,109.80049
Trinidad and Tobago,2002,9624,8767,857,109.7752937
Malta,1983,3208,2925,283,109.6752137
Malta,1975,3009,2744,265,109.6574344
Singapore,1967,10617,9684,933,109.6344486
Bahrain,2005,2215,2021,194,109.5992083
Kuwait,2008,5701,5203,498,109.5714011
Uruguay,2007,33783,30834,2949,109.5641175
Seychelles,2014,725,662,63,109.5166163
Trinidad and Tobago,2009,9693,8859,834,109.4141551
Antigua and Barbuda,2008,528,483,45,109.3167702
Belize,2000,1534,1404,130,109.2592593
Grenada,2008,857,785,72,109.1719745
Grenada,2014,964,886,78,108.8036117
Saint Vincent and the Grenadines,1970,738,679,59,108.6892489
Maldives,2012,1199,1104,95,108.6050725
Bahrain,2002,2035,1874,161,108.5912487
Martinique,2010,2854,2630,224,108.5171103
Grenada,1994,780,719,61,108.4840056
Antigua and Barbuda,1970,411,379,32,108.4432718
Malta,1987,2956,2728,228,108.3577713
Georgia,2016,50771,46865,3906,108.334578
Seychelles,2008,663,612,51,108.3333333
Belarus,1996,142943,131981,10962,108.305741
Bahrain,1998,1997,1845,152,108.2384824
Bahrain,2001,1979,1831,148,108.0830147
Sri Lanka,1984,100725,93258,7467,108.0068198
Saint Vincent and the Grenadines,2010,823,762,61,108.0052493
Kuwait,2005,4784,4431,353,107.966599
Saint Vincent and the Grenadines,1971,733,679,54,107.9528719
Trinidad and Tobago,2010,10219,9467,752,107.9433823
Uruguay,1999,32431,30082,2349,107.8086563
Uruguay,2003,32577,30236,2341,107.7424262
Martinique,2007,2809,2608,201,107.7070552
Saint Vincent and the Grenadines,2009,777,722,55,107.6177285
Saint Lucia,1993,953,886,67,107.5620767
Guadeloupe,2010,3018,2806,212,107.5552388
Trinidad and Tobago,1998,9636,8960,676,107.5446429
Bahrain,2009,2387,2220,167,107.5225225
Antigua and Barbuda,2017,563,524,39,107.4427481
Trinidad and Tobago,2008,10463,9739,724,107.4340281
Seychelles,2019,795,740,55,107.4324324
Singapore,1973,11920,11100,820,107.3873874
Malta,2015,3443,3208,235,107.3254364
Seychelles,2010,664,619,45,107.26979
Bahrain,2011,2527,2356,171,107.2580645
Malta,1976,3051,2849,202,107.0902071
Romania,2009,257213,240290,16923,107.04274
Trinidad and Tobago,1996,9376,8767,609,106.9465039
Seychelles,2002,647,605,42,106.9421488
Kuwait,2007,5293,4954,339,106.8429552
Trinidad and Tobago,2003,10206,9553,653,106.835549
Puerto Rico,1964,18566,17379,1187,106.8300823
Trinidad and Tobago,2001,9753,9130,623,106.8236583
Malta,1979,3063,2868,195,106.7991632
Antigua and Barbuda,2018,566,530,36,106.7924528
Antigua and Barbuda,1969,410,384,26,106.7708333
Belize,2013,1611,1509,102,106.7594433
Uruguay,1988,30900,28955,1945,106.71732
Antigua and Barbuda,2004,511,479,32,106.6805846
Serbia,1998,99376,93157,6219,106.6758268
South Korea,2001,243813,228813,15000,106.5555716
Chile,1960,95486,89653,5833,106.5061961
Bahrain,2013,2569,2413,156,106.4649814
Romania,2018,264963,248910,16053,106.449319
Saint Vincent and the Grenadines,2007,751,706,45,106.3739377
Romania,2017,262321,246673,15648,106.3436209
Bahrain,2007,2270,2136,134,106.2734082
Uruguay,2004,32193,30337,1856,106.1179418
Barbados,2003,2648,2496,152,106.0897436
South Korea,2002,247524,233316,14208,106.0895952
Trinidad and Tobago,1995,9042,8524,518,106.0769592
Uruguay,1998,31917,30090,1827,106.0717846
Maldives,2011,1182,1115,67,106.0089686
Saint Vincent and the Grenadines,1978,742,700,42,106
Grenada,1990,779,735,44,105.9863946
Mauritius,2021,13274,12527,747,105.9631197
Uruguay,1993,31613,29851,1762,105.9026498
New Zealand,2015,31796,30037,1759,105.8561108
Singapore,1977,11952,11298,654,105.7886352
Saint Vincent and the Grenadines,2006,769,727,42,105.7771664
Uruguay,1980,29823,28196,1627,105.770322
Saint Lucia,1986,847,801,46,105.7428215
Antigua and Barbuda,2016,542,513,29,105.6530214
Martinique,2016,3285,3112,173,105.559126
Saint Lucia,1991,917,869,48,105.5235903
Chile,1962,94874,89913,4961,105.5175559
Uruguay,1984,29990,28426,1564,105.5020052
Chile,1988,74435,70562,3873,105.48879
Singapore,1971,11329,10740,589,105.4841713
Mayotte,2015,635,602,33,105.4817276
Malta,1973,2994,2839,155,105.4596689
Saint Vincent and the Grenadines,2013,911,864,47,105.4398148
Chile,1964,94058,89242,4816,105.3965622
Singapore,1974,11674,11077,597,105.3895459
Uruguay,1995,31700,30080,1620,105.3856383
